usage_atomique,occurrences
maison d'habitation et buffet de 0a.86 construits sur le sol porté sous art. 2091,1
bois soit place,1
atelier de marbrerie (vodoz),1
hangar de 0a.47 construit sur le sol porté sous art. 2084,1
place sur laquelle est construit un bâtiment porté sous art. 3378,1
hangar de 1a.25 construit sur le sol porté sous art. 2084,1
place sur laquelle est construit un bâtiment porté sous art. 2239,1
atelier de serrurier et bureau de 1a.67 construit sur le sol porté sous art. 2084,1
place sous laquelle est un bâtiment porté sous art. 3950,1
écurie de 1a.47 construits sur le sol porté sous art. 2085,1
place sur laquelle est construit un bâtiment porté sous art. 1064,1
bâtiment de la machine à vapeur,1
canal,1
bureau et hangar,1
garde manger,1
entrepôt de 20a.62c construit sur le sol porté sous art.,1
les autres parts sont portées sous art. 3081,1
3081,1
écoles,1
hôtel des trois suisses,1
bureaux de la caisse hypothécaire,1
hotel de france,1
dépôt et remise de la pompe à feu,1
place sur laquelle existe un droit de passage en faveur de no. 182,1
magasin de 1a.53 avec cave de 0.06,1
située à l'angle nord-ouest de l'art. 13,1
à l'angle nord-ouest de ce bâtiment est une cave de 0.06 faisant partie de l'art. 1712,1
cave de 0a.26c située dans le bâtiment porté sous art. 1642,1
maison d'habitation dans laquelle est une cave de 0a.26c portés sous art. 1782,1
bureau construit par gruaz,1
maison d'habitation (neuhaus),1
hangar construit par studinger,1
remise construites par morandi,1
hangar construit par marulaz,1
atelier construit par chapuis,1
fenil construits par cachin,1
etable à porcs construite par tivel,1
fenil construits par tivel,1
maison d'habitation construite par tivel,1
hangar construit par balissat,1
forge construite par balissat,1
hangar construit par fatoto et salero,1
poids public,1
couvert du poids public,1
chambre à lessive et à repasser avec 2 chambres mansardées,1
maison d'habitation (construite par emile devallière),1
faculté de théologie libre,1
2/3 indéterminés d'une place soit passage indivis de 0a.57c en totalité,1
l'autre part est portée sous art. 3423,1
atelier de serrurerie et menuiserie,1
atelier de gypserie,1
hangars,1
atelier de ferblanterie,1
1/3 indéterminé d'une place soit passage indivis de 0y.57c en totalité,1
l'autre part est portée sous art. 1849,1
place soit terrasse sur le bâtiment porté sous art. 3474,1
chambre à farine avec terrasse dessus de 0a.34; la terrasse est porté sous art. 1451,1
collège st-roch,1
1836,1
les autres parts sont sous art. 1836,1
ecole spéciale,1
fenil construits par samuel maget,1
couvert construit par samuel maget,1
dépôt de machines,1
fabrique de planelles,1
chambre à resserre,1
atelier (pré dessus),1
cave voutée,1
couvert d'escalier,1
1/3 indéterminé d'une place soit chemin indivis de 0a.57c en totalité; les autres parts sont portées sous art. 1655,1
1655,1
bosquet (bois),1
chambre à lessive et étendage,1
entrée,1
hangar construit par thévenaz,1
basse cour,1
fumoir à viande,1
4/6 indéterminé d'une place soit chemin indivis de 1a.20c en totalité; l'autre part est portée sous art. 1409,1
2/6 indéterminés d'une place soit chemin indivis de 1a.20c en totalité; l'autre part est portée sous art. 648,1
maison d'habitation avec galeries,1
atelier construit par overnay,1
scierie à vapeur,1
chaudière à vapeur (place dessus),1
hangar de 0a.40 construits sur le sol porté sous art. 138,1
place sur laquelle est construit un bâtiment porté sous art. 2422,1
fabrique de produits stéariques,1
hôpital,1
maison du portier,1
dépôt d'essences,1
ancien hôpital,1
hangar de la pompe à feu,1
dépôt de pétrole,1
hôtel de l'ours,1
presbytère,1
poste de gendarmerie,1
salle des machines,1
pénitencier des hommes,1
fabrique de colle,1
magasin de toiles,1
chambre à soufre,1
pénitencier des femmes,1
chaudière à vapeur,1
l'autre part est sous art. 2770,1
l'autre part est sous art. 2633,1
les autres parts sont portées sous article 120,1
4/6 indéterminé d'une place indivise de 3a.66 en totalité,1
120,1
1/6 indéterminé d'une place soit chemin indivis de 1a.80c en totalité; les autres parts sont portées sous art. 2236,1
2/6 indéterminés d'une place soit chemin indivis de 1a.80c en totalité,1
1/6 indéterminé d'une place soit chemin indivis de 0a.30c en totalité; les autres parts sont portées sous art. 2229,1
cave (terrasse dessus),1
1/12 indéterminé d'une place soit chemin indivis de 0a.30c en totalité,1
3/12 indéterminés d'une place soit chemin indivis de 0a.30c en totalité,1
6/12 indéterminés d'une place soit chemin indivis de 0a.30c en totalité,1
3/6 indéterminés d'une place soit chemin indivis de 1a.80c en totalité,1
1/6 indéterminé d'une place soit chemin indivis de 1a.38c en totalité,1
les autres parts sont portées sous art. 2236,1
2/6 indéterminés d'une place soit chemin indivis de 1a.38c en totalité,1
3/6 indéterminés d'une place soit chemin indivis de 1a.38c en totalité,1
3/4 indéterminés d'un chemin indivis de 3a.40 en totalité,1
l'autre partie est portée sous art. 1251,1
1/4 indéterminé d'un chemin indivis de 3a.40 en totalité,1
l'autre partie est portée sous art.3046,1
place soit terrasse,1
remise à voitures,1
fontaine couverte,1
office,1
cave (pré,1
parc dessus),1
bains de 5a.14c construits sur domaine public,1
serres,1
serre (terrasse dessus),1
etable à porcs (terrasse),1
chalet,1
cave (terrasse),1
logement du concierge,1
l'autre portion est portée sous art. 2606,1
l'autre portion est portée sous art. 2553,1
portion de bâtiment de 0a.96c en totalité consistant en: la cave à l'angle sud-ouest (la dite cave avance de un mètre sous le bâtiment porté sous art. 3480) les autres parts sont sous art. 3480,1
portion de bâtiment de 0a.96c en totalité consistant en: la cave à l'angle sud-est (la dite cave avance de un mètre sous le bâtiment porté sous art. 2935) les autres parts sont sous art. 2935,1
portion de bâtiment de 0a.96c en totalité consistant en: le petit caveau au fond du corridor avec la chambre à lessive à l'angle nord-est au rez-de-chaussée,1
le logement à orient au 1er étage,1
la chambre à l'angle nord-est du 3me étage,1
portion de bâtiment de 0a.96c en totalité consistant en: le logement au sud et à l'est au 2me étage avec le galetas au-dessus de la cuisine et le galetas à l'angle nord-est au-dessus de la chambre du 3me étage à la veuve desponds,1
portion de bâtiment de 0a.96c en totalité consistant en: l'appartement au nord au rez-de-chaussée,1
portion de bâtiment de 0a.96c en totalité consistant en: l'appartement au nord-ouest au 1er étage composé de une chambre avec cuisine et fond de cuisine,1
portion de bâtiment de 0a.96c en totalité consistant en: l'appartement à l'ouest au second étage composé d'une cuisine et deux chambres,1
avec le galetas au-dessus du dit appartement,1
portion de bâtiment consistant en: les deux tiers de la cave à l'est,1
l'apparteement du second étage,1
les deux tiers à l'ouest du galetas,1
les autres parts sont portées sous art. 1180,1
portion de bâtiment consistant en: le premier sixième de la cave à partir de l'ouest,1
le 1/3 à l'est du premier galetas et 1/3 du nord du second galetas,1
portion de bâtiment consistant en: le second sixième de la cave à partir de l'ouest,1
1180,1
portion de bâtiment de 0.41 en totalité consistant en: la cave et le caveau au rez-de-chaussée et l'appartement du 1er étage,1
l'autre part est portée sous art. 2916,1
portion de bâtiment de 0.41 en totalité consistant en:  l'appartement du second étage et tout le galetas,1
l'autre part est portée sous art. 2936,1
portion de bâtiment consistant en: le magasin au rez-de-chaussée,1
l'autre part est portée sous art. 2937,1
portion de bâtiment consistant en: l'appartement du 1er étage,1
l'appartement du second étage et tout le galetas,1
l'autre part est portée sous art. 2917,1
le 1er,1
2me étages,1
3/4 du sol et les pièces au dessus d'une maison d'habitation de 0a.27c en totalité; le rez-de-chaussée est porté sous art. 2930,1
le rez-de-chaussée d'une maison d'habitation de 0a.27c en totalité,1
plus le 1/4 du sol; les 1er,1
2me étagles et les pièces au-dessus sont portés sous art. 2926,1
portion d'un bâtiment de 0a.54c en totalité consistant en: magasin au rez-de-chaussée,1
la chambre au sud et la chambre au nord du 3me étage avec la portion de galetas au-dessus des dites chambres; l'autre portion est portée sous art. 2918,1
portion d'un bâtiment de 0a.54c en totalité consistant en: le logement du 2me étage,1
la chambre au milieu au 3me étage avec le galetas au-dessus de la dite chambre; l'autre part est portée sous art. 3447,1
remise avec terrasse,1
chambre à lessive avec terrasse,1
hôtel d'angleterre,1
place sur laquelle est construit un bâtiment porté sous art. 540,1
logement de 0a.48 construit sur le sol porté sous article 1981,1
atelier de 0a.61 construit sur le sol porté sous article 1981,1
place sur laquelle est construit un bâtiment porté sous article 540,1
place sur laquelle est construit un bâtiment porté sous article 3465,1
logement de 0a.44 construit sur le sole porté sous article 1981,1
hangar de 2a.38 construit sur le sol porté sous article 1981,1
place sur laquelle est construit un bâtiment porté sous article 617,1
place sur laquelle est construit un bâtiment proté sous art. 1824,1
atelier de 17,1
4 construit sur le sol porté sous art. 1981,1
atelier de 1a.45 construits sur le sol porté sous article 1981,1
place sur laquelle est construit un bâtiment porté sous art. 1824,1
aspirateur,1
rebatte de 0a.75 construit sur le sol porté sous art. 1981,1
salle d'épuration de 3a.96 construite sur le sol porté sous art. 1981,1
hangar de 1a.70 construit sur le sol porté sous article 1981,1
fabrique d'amoniaque de 0.28 construite sur le sol porté sous art. 1981,1
hangar de 1a.53 construit sur le sol porté sous article 1981,1
halle aux fours de 3a29 construite sur le sol porté sous article 1981,1
raffraichissoir de 0a.42 construit le sol porté sous article 1981,1
poulailler de 0a.11 construits sur le sol porté sous art. 1981,1
logement de 0a.91 construit sur le sol porté sous article 1981,1
hangar de 2a.10 construit sur le sol porté sous article 1981,1
hangar de 0a.66 construit sur le sol porté sous article 1982,1
remise de 1a.59 construites sur le sol porté sous art. 1982,1
logement (regamey),1
écurie (regamey),1
chambre à repasser de 0a.17 construite sur le domaine public,1
chambre à repasser de 0a.06 construite sur le sol porté sous art. 1982,1
ecurie de 0a.06 construite sur le sol porté sous article 1982,1
logement de 0a.70 construit sur le sol porté sous article 1982,1
ecurie (construite par connetta),1
ecurie construite par jean louis rouge,1
logement construit par jean louis rouge,1
cachot,1
portion de bâtiment de 0a.82c en totalité consistant en : boucherie au rez-de-chaussée,1
l'appartement du premier étage et les 2/3 indivis du galetas,1
l'autre part est portés sous art. 1577,1
portion de bâtiment consistant en l'appartement du 2me étage et 1/3 indivis du galetas,1
l'autre part est portée sous art. 2902,1
l'autre part est portée sous art. 2903,1
l'autre part est portée sous art. 1578,1
portion de bâtiment consistant en: le rez-de-chaussée,1
l'appartement du 1er étage et la 1/2 au nord du galetas de 0a.82c en totalité,1
les autres parts sont sous article 2943,1
portion de bâtiment consistant en: l'appartement du 2me étage avec le petit galetas su sud sous le faite de 0a.82 en totalité,1
les autres parts sont sous art. 3448,1
portion de bâtiment consistant en: le 3me étage avec le galetas qui est au-dessus de 0a.82 en totalité,1
les autres parts sont portées sous art. 3448,1
2943,1
ayant logement au rez-de-chaussée et la cave au midi,1
le 1er et 3me étage,1
1/2 au midi de galetas du 5me étagme,1
1/2 au midi de galetas des combles,1
l'autre portion est portée sous article 2910,1
ayant cave au nord,1
le 2me et 4me étage,1
172 au nord de galetas au 5me étage et 1/2 au nord du galetas des combles,1
l'autre portion est portée sous art. 2905,1
l'autre part est portée sous art. 2906,1
l'autre part est portée sous art. 2911,1
hangar de 2a.56 construit sur le sol porté sous article 1981,1
place sur laquelle est construit un bâtiment porté sous article 1525,1
les 2/15 indéterminés d'une place soit chemin indivis de 1a.35 en totalité. les autres parts sont portées sous art. 1702,1
les 8/15 indéterminés d'une place soit chemin indivis de 1a.35 en totalité. les autres parts sont portées sous art. 1262,1
les 5/15 indéterminés d'une place soit chemin indivis de 1a.35 en totalité. les autres parts sont portées sous art. 1262,1
1702,1
remise (freymond),1
logement (freymond),1
place sur laquelle est construite un abri porté sous art. 2164,1
abri de 0a.64c construit sur le sol porté sous art. 1981,1
place (passage),1
les autres parts sont portées sous art. 1785,1
1785,1
entrée du manège,1
dépôt de chiffons,1
eglise anglicane,1
magasin à sel,1
hangar construit par perrin,1
buffet de 0a.68c construit sur le domaine public,1
château d'eau,1
buffet construit par humbert,1
gare aux voyageurs,1
gare aux marchandises,1
salle de 0a.45 construite sur le domaine public,1
hangar à bois (perrin jules et fils),1
pavillon avec salon,1
pressoir dessous,1
l'autre part est portée sous art. 3615,1
les autres parts sont portées sous art. 3616,1
l'autre part est portée sous art. 3578,1
1/2 indéterminée d'une place soit chemin indivis de 2a.56 en totalité,1
3616,1
étandage et repassage,1
12/24 indéterminés d'une place,1
les autres parts sont sous art. 2506,1
6/24 indéterminés d'une place,1
4/24 indéterminés d'une place,1
cour (place),1
laiterie avec place dessus,1
granges,1
réduit avec pré dessus,1
l'autre part est portée sous article 94,1
l'autre part est portée sous article 1300,1
fenils,1
fosse à purin,1
remise de la pompe à feu de 0a.30 construit sur domaine public,1
fabrique de cornues à gaz,1
salon,1
atelier de marbrerie construit par péclard,1
place sur laquelle est construite une écurie portée sous art. 1537,1
maison de garde voie,1
ecurie construite par richard,1
ecurie de 0a.72c construit sur le sol porté sous art. 1996,1
chambre à repasser,1
1/2 indéterminée d'un cabinet de vigne de 0a.14c en totalité; l'autre part est portée sous art. 2416,1
1/2 indéterminée d'un cabinet de vigne de 0a.14c en totalité; l'autre part est portée sous art. 2420,1
les autres parts sont portées sous art. 2383,1
hospice de l'enfance,1
chambre à lessive et à resserrer,1
bûher,1
atelier de sculpture,1
menuiserie et machines,1
jeux de quilles,1
remises de 1a.39,1
le sol est porté sous article 614,1
place sur laquelle est construit un bâtiment porté sous art. 3902,1
magnanerie,1
guérite d'aiguilleur,1
remise des locomotives,1
lampisterie,1
magasin des imprimés,1
bureaux (des alpes),1
tribunal fédéral,1
atelier de machines à coudre,1
coutellerie,1
couvert de roue,1
atelier construit par hugli,1
atelier construit par pointet,1
place sur laquelle est construit un bâtiment porté sous art. 3371,1
collège-galliard,1
entrée de salle,1
local de gymnastique,1
atelier de 1a.30c construit sur le sol porté sous art. 2093,1
hangar de 0a.73c construit sur le sol porté sous art. 2093,1
forge de 0a.21c construite sur le sol porté sous art. 2093,1
place de 0a.73c sur laquelle est construit un hangar porté sous art. 1826,1
place de 0a.21c sur laquelle est construite une forge portée sous art. 1826,1
hangar de 1a.26 construit sur le sol porté sous art. 2093,1
atelier de 0a.84c construit sur le sol porté sous art. 2093,1
place de 1a.26c sur laquelle est construit un hangar porté sous art. 1827,1
place de 0a.84c sur laquelle est construit un atelier porté sous art. 1828,1
latrines de 0a.03,1
remise des machines de 2a.76,1
place sur laquelle est construit un bâtiment porté sous art. 2073,1
réservoir de 0a.07,1
gare des voyageurs de 1a.28,1
buffet de 0a.36 appartenant à charles arudel,1
latrines de 0a.04 le sol est porté sous article 2003,1
place sur laquelle est construit un bâtiment porté sous art. 2075,1
place sur laquelle est construit un bâtiment porté sous art. 2076,1
remise de voitures de 1a.48,1
asile des aveugles,1
hospice,1
maison d'habitation construite par lepori,1
atelier (construit par krafft),1
1/2 indéterminée d'une place indivise de 1a.94c en totalité. l'autre part est portée sous art. 52,1
1/2 indéterminée d'une place indivise de 1a.94c en totalité. l'autre part est portée sous art. 2476,1
rucher construit par indermuller dit dumoulin,1
l'autre part est portée sous art. 36,1
l'autre part est portée sous art. 233,1
place de 0a.18c sur laquelle est une fontaine appartenant aux propriétaires des art.,1
orphelinat,1
hangar construit par deglon,1
ecurie des porcs,1
parc,1
ecurie séquestre,1
grandes et petites loges,1
ecurie pour bœufs,1
l'autre part est portée sous article 1869,1
l'autre part est portée sous article 3500,1
champt,1
café de tempérance,1
place à fumier,1
bois (parc),1
pépinière,1
cabinet de vigne (pressoir),1
place (chemins),1
casernes,1
stand,1
battoir à blé,1
place (place d'armes),1
l'autre part est portée sous article 1572,1
l'autre part est portée sous article 3820,1
place soit étang,1
l'autre part est portée sous article 3490,1
l'autre part est portée sous article 1492,1
la 1/2 indéterminée d'une place soit chemin indivis de 11a.0 en totalité. les autres parts sont portées sous articles 3495,1
les autres parts sont sous art. 3491,1
les autres parts sont sous art. 1493,1
1/2 d'un bâtiment ayant four de 0a.48c en totalité,1
les autres parts sont art. 1493,1
3491,1
les autres parts sont portées sous art. 1494,1
1494,1
3495,1
hangar construit par la société des grenadiers,1
les autres parts sont sous art. 185,1
l'autre part est sous art. 186,1
l'autre part est sous art. 182,1
les autres parts sont portées sous articles 1304,1
champ (houblonnière),1
champ (carrière),1
parcs,1
écurie des veaux et moutons et bocks,1
ecurie pour boeufs,1
ecurie pour chevaux,1
chambre pour garçon d'écurie,1
bâtiment d'administration,1
magasins pour cuirs et traitement du sang,1
marché couvert,1
atelier de 0a.37 construit sur domaine public,1
couvert de 0.55 construit sur le domaine public,1
magasin de fers,1
pavillon d,1
pavillon c,1
pavillon b,1
pavillon a,1
logement du directeur,1
glacière souterraine de 0a.54c construite sous le sol porté sous no. 32,1
cave souterraine de 0a.47c construite sous le sol porté sous no. 32,1
cave souterraine de 1a.14c construite sous le sol porté sous no. 32,1
cave souterraine de 1a.18c construite sous le sol porté sous no. 32,1
cave souterraine de 0a.94c construite sous le sol porté sous no. 32 et 33,1
cave souterraine de 0a.61c construite sous le sol porté sous no. 32 et 33,1
magasin à coke,1
moulin à sable et à ébarber,1
fonderie,1
atelier d'ajustage et de montage,1
ancien moulin,1
réservoir (soit pré),1
atelier de 0a.74c construit sur le sol porté sous article 2020,1
place sur laquelle est construit un bâtiment porté sous article 2262,1
bois (bosquets),1
maison d'habitation de 2a.74c soit le  rez-de-chaussée moins une chambre et cave,1
1/3 de grange et écurie et galetas,1
l'autre part est sous art. 2783,1
logement à l'étage,1
chambre et cave au rez-de-chaussée,1
2/3 de grange et écurie,1
l'autre part est sous art. 345,1
2/3 indéterminés d'une place indivise de 4a.20c en totalité,1
l'autre part est portée sous article 344,1
1/3 indéterminé d'une place indivise de 4a.20c en totalité,1
l'autre part est portée sous article 2782,1
machines,1
bâtiment de chaudières à vapeur,1
hangar à charbon,1
belvédère,1
battoir à graines,1
logement au 1er étage et 1/2 de grange et écurie à orient,1
l'autre part est portée sous article 3393,1
logement au rez-de-chaussée et 1/2 de grange et écurie à occident,1
l'autre part est portée sous article 3401,1
l'autre part est portée sous article 3402,1
l'autre part est portée sous article 3394,1
l'autre part est portée sous article 3403,1
l'autre part est portée sous article 3396,1
les autres parts sont portées sous article 3398,1
3398,1
cellules,1
l'autre part est sous article 288,1
l'autre part est sous article 2651,1
l'autre part est sous article 3587,1
l'autre part est sous article 3594,1
atelier de peinture,1
cabinet de jardin,1
dépôt de bois,1
l'autre part est portée sous art. 362,1
l'autre part est portée sous art. 1294,1
pré (réservoir),1
place servant de chemin,1
ruchet,1
four (tour?),1
2675,1
les autres parts sont portées sous art. 2675,1
champ (réservoir des eaux de bret),1
chemin (soit champ),1
bois (chemin),1
battoir à grains,1
manège du battoir,1
réservoir (place),1
four avec chambre dessus,1
l'autre part est portée sous art. 420,1
l'autre part est portée sous art. 352,1
l'autre part est portée sous art. 411,1
l'autre part est portée sous art. 264,1
les autres parts sont sous art. 2137,1
1/2 indéterminée d'un four de 0a.16 en totalité,1
2137,1
1/2 de maison de 1a.92 en totalité consistant en logement,1
2 greniers,1
1/3 de grange; l'autre portion est portée sous article 2731,1
1/2 de maison de 1a.92 en totalité consistant en logement au sud-est,1
écurie et 2/3 de grange; l'autre portion est portée sous article 2723,1
1/2 indéterminée d'une place indivise de 0a.72 en totalité; l'autre portion est portée sous article 2723,1
1/2 indéterminée d'une place indivise de 0a.72 en totalité; l'autre portion est portée sous article 2731,1
1/2 indéterminée d'une place indivise de 0a.86 en totalité; l'autre portion est portée sous article 2731,1
1/2 indéterminée d'une place indivise de 0a.86 en totalité; l'autre portion est portée sous article 2723,1
1/2 indéterminée d'un four de 0a.24 en totalité,1
les autres parts sont portées sous art. 3159,1
3159,1
1/3 indéterminé d'une place indivise de 5a-19 en totalité; les autres parts sont portées sous art. 3250,1
3250,1
1/2 indéterminée d'un four; l'autre part est portée sous art. 3166,1
1/2 indéterminée d'un four; l'autre part est portée sous art. 3227,1
1/2 indéterminée d'une place indivise de 1a.26 en totalité; l'autre part est portée sous art. 3149,1
1/2 indéterminée d'une place indivise de 1a.26 en totalité; l'autre part est portée sous art. 3143,1
cimetière,1
remise de la pompe,1
1/2 indéterminée d'une place indivise de 0a.24c en totalité; l'autre part est sous art. 3155,1
1/2 indéterminée d'une place indivise de 0a.24c en totalité; l'autre part est sous art. 1184,1
l'autre part est portée sous art. 3238,1
l'autre part est portée sous art. 3115,1
étables à porcs,1
cave (bâtiment construit par regamey emmanuel),1
hangar des pompes,1
pont de danse,1
pé,1
pré talus,1
l'autre part est portée sous art. 3334,1
l'autre part est portée sous art. 3276,1
pont de grange sous lequel est une cave portée sous art. 3732,1
cave de 0a.29 dans le bâtiment porté sous art. 3325,1
maison d'habitation de maîtres,1
maison d'habitation du jardinier,1
maison d'habitation du fermier,1
les autres parts sont portées sous art. 464,1
464,1
place (dévestiture),1
place (soit passage),1
